filename,sup_idx,inf_idx,dx,inf_box_w,slip_pct
2662-F-044Y1_jpg.rf.d73bdc5b16e4ea2b7f9e749f3f004644.json,0,1,39.5,80.0,49.375
2662-F-044Y1_jpg.rf.d73bdc5b16e4ea2b7f9e749f3f004644.json,1,2,48.0,82.0,58.536585365853654
2662-F-044Y1_jpg.rf.d73bdc5b16e4ea2b7f9e749f3f004644.json,2,3,44.0,82.0,53.65853658536586
2662-F-044Y1_jpg.rf.d73bdc5b16e4ea2b7f9e749f3f004644.json,3,4,30.5,73.0,41.78082191780822
2662-F-044Y1_jpg.rf.d73bdc5b16e4ea2b7f9e749f3f004644.json,4,5,8.0,67.0,11.940298507462686
2662-F-044Y1_jpg.rf.d73bdc5b16e4ea2b7f9e749f3f004644.json,5,6,-30.0,67.0,-44.776119402985074
2679-F-016Y1_jpg.rf.8e8d18f58b6e5797b8f92b6bdb55b00c.json,0,1,28.0,73.0,38.35616438356164
2679-F-016Y1_jpg.rf.8e8d18f58b6e5797b8f92b6bdb55b00c.json,1,2,26.0,77.0,33.76623376623377
2679-F-016Y1_jpg.rf.8e8d18f58b6e5797b8f92b6bdb55b00c.json,2,3,28.0,71.0,39.436619718309856
2679-F-016Y1_jpg.rf.8e8d18f58b6e5797b8f92b6bdb55b00c.json,3,4,7.5,64.0,11.71875
2679-F-016Y1_jpg.rf.8e8d18f58b6e5797b8f92b6bdb55b00c.json,4,5,-13.5,79.0,-17.088607594936708
2679-F-016Y1_jpg.rf.8e8d18f58b6e5797b8f92b6bdb55b00c.json,5,6,-39.0,79.0,-49.36708860759494
2679-F-016Y1_jpg.rf.8e8d18f58b6e5797b8f92b6bdb55b00c.json,6,7,-56.5,82.0,-68.90243902439023
2695-F-026Y1_jpg.rf.3df07db3271aac57004609a856919a96.json,0,1,11.5,73.0,15.753424657534246
2695-F-026Y1_jpg.rf.3df07db3271aac57004609a856919a96.json,1,2,14.5,76.0,19.078947368421055
2695-F-026Y1_jpg.rf.3df07db3271aac57004609a856919a96.json,2,3,0.5,81.0,0.6172839506172839
2695-F-026Y1_jpg.rf.3df07db3271aac57004609a856919a96.json,3,4,-8.0,89.0,-8.98876404494382
2695-F-026Y1_jpg.rf.3df07db3271aac57004609a856919a96.json,4,5,-68.5,98.0,-69.89795918367348
2720-M-050Y1_jpg.rf.cf18c74f8cc8411f09cc3fda151c243a.json,0,1,3.0,68.0,4.411764705882353
2720-M-050Y1_jpg.rf.cf18c74f8cc8411f09cc3fda151c243a.json,1,2,7.5,67.0,11.194029850746269
2720-M-050Y1_jpg.rf.cf18c74f8cc8411f09cc3fda151c243a.json,2,3,7.0,71.0,9.859154929577464
2720-M-050Y1_jpg.rf.cf18c74f8cc8411f09cc3fda151c243a.json,3,4,13.0,69.0,18.84057971014493
2720-M-050Y1_jpg.rf.cf18c74f8cc8411f09cc3fda151c243a.json,4,5,7.0,69.0,10.144927536231885
2720-M-050Y1_jpg.rf.cf18c74f8cc8411f09cc3fda151c243a.json,5,6,-8.5,72.0,-11.805555555555555
2720-M-050Y1_jpg.rf.cf18c74f8cc8411f09cc3fda151c243a.json,6,7,-38.0,84.0,-45.23809523809524
2742-M-073Y1_jpg.rf.738eac69d9540b6d1b0c4d404a31e467.json,0,1,10.5,105.0,10.0
2742-M-073Y1_jpg.rf.738eac69d9540b6d1b0c4d404a31e467.json,1,2,12.0,109.0,11.009174311926607
2742-M-073Y1_jpg.rf.738eac69d9540b6d1b0c4d404a31e467.json,2,3,24.0,125.0,19.2
2742-M-073Y1_jpg.rf.738eac69d9540b6d1b0c4d404a31e467.json,3,4,17.5,114.0,15.350877192982457
2742-M-073Y1_jpg.rf.738eac69d9540b6d1b0c4d404a31e467.json,4,5,24.0,110.0,21.818181818181817
2742-M-073Y1_jpg.rf.738eac69d9540b6d1b0c4d404a31e467.json,5,6,9.0,96.0,9.375
2742-M-073Y1_jpg.rf.738eac69d9540b6d1b0c4d404a31e467.json,6,7,-24.0,106.0,-22.641509433962266
2743-M-027Y1_jpg.rf.8f5bc07327eaf59065df78131b66ca87.json,0,1,9.5,67.0,14.17910447761194
2743-M-027Y1_jpg.rf.8f5bc07327eaf59065df78131b66ca87.json,1,2,10.5,78.0,13.461538461538462
2743-M-027Y1_jpg.rf.8f5bc07327eaf59065df78131b66ca87.json,2,3,16.0,72.0,22.22222222222222
2743-M-027Y1_jpg.rf.8f5bc07327eaf59065df78131b66ca87.json,3,4,25.0,80.0,31.25
2743-M-027Y1_jpg.rf.8f5bc07327eaf59065df78131b66ca87.json,4,5,20.0,76.0,26.31578947368421
2743-M-027Y1_jpg.rf.8f5bc07327eaf59065df78131b66ca87.json,5,6,11.0,72.0,15.277777777777779
